Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2011-12,21,ORL,NBA,PF,4,0,9,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,12.0,16.0,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,9,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,12.0,16.0,
