Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2011-12,21,ORL,NBA,PF,4,0,9,20.0,1.136,0.0,26.1,12.8,0.0,0.0,0.0,0.0,9.6,0.1,0.0,0.1,0.464,-1.1,4.1,3.0,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,9,20.0,1.136,0.0,26.1,12.8,0.0,0.0,0.0,0.0,9.6,0.1,0.0,0.1,0.464,-1.1,4.1,3.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,185,20.0,1.136,0.0,26.1,12.8,0.0,0.0,0.0,0.0,9.6,1.6,0.1,1.8,0.464,-1.1,4.1,3.0,0.2,
