"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Quentin Richardson,,5.8,5.8,5.6,3.5,3.0,2.4,2.1,1.3,1.3,1.0,0.7,0.3,-0.1
Terry Rozier,88.0,5.9,5.6,5.2,3.9,3.2,3.0,1.7,1.4,1.0,-0.3,,,
Adrian Smith,87.4,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,
Arron Afflalo,87.1,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,1.4,0.1,,
Raja Bell,86.8,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,
Gerald Henderson,86.8,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0
Larry Steele,85.6,5.7,5.2,4.8,3.6,3.0,2.0,1.9,1.6,0.5,,,,
Dee Brown,85.1,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1.0,0.8,0.3,0.2,-0.3,
Walt Hazzard,85.0,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,,
Foots Walker,84.8,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,
Lucious Harris,84.4,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,
