Season,Team,Lg,Salary
2013-14,Detroit Pistons,NBA,"$2,653,080"
2014-15,Detroit Pistons,NBA,"$2,772,480"
2015-16,Detroit Pistons,NBA,"$2,891,760"
2016-17,Detroit Pistons,NBA,"$3,678,319"
2017-18,Los Angeles Lakers,NBA,"$17,745,894"
2018-19,Los Angeles Lakers,NBA,"$12,000,000"
2019-20,Los Angeles Lakers,NBA,"$8,089,282"
2020-21,Los Angeles Lakers,NBA,"$12,073,020"
2021-22,Washington Wizards,NBA,"$13,038,862"
2022-23,Denver Nuggets,NBA,"$14,004,703"
2023-24,Denver Nuggets,NBA,"$14,704,938"
2024-25,Orlando Magic,NBA,"$22,757,000"
Career,(may be incomplete),,"$126,409,338"
