Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2001-02,20,2TM,NBA,SG,77,60,1916,251,584,.430,38,130,.292,213,454,.469,.462,41,53,.774,75,182,257,179,59,20,71,114,581,0,
2001-02,20,BOS,NBA,SG,48,33,1003,130,296,.439,24,88,.273,106,208,.510,.480,20,26,.769,40,99,139,74,33,9,28,59,304,0,
2001-02,20,PHO,NBA,SG,29,27,913,121,288,.420,14,42,.333,107,246,.435,.444,21,27,.778,35,83,118,105,26,11,43,55,277,0,
2002-03,21,PHO,NBA,SG,82,34,2255,316,796,.397,75,205,.366,241,591,.408,.444,96,124,.774,57,207,264,210,62,19,108,143,803,0,6MOY-11
2003-04,22,PHO,NBA,SG,82,77,3331,555,1291,.430,83,272,.305,472,1019,.463,.462,174,232,.750,80,305,385,362,93,26,199,177,1367,0,
2004-05,23,PHO,NBA,SF,82,82,3240,544,1179,.461,177,370,.478,367,809,.454,.536,135,180,.750,120,302,422,291,79,24,148,167,1400,0,
2005-06,24,ATL,NBA,SG,82,82,3340,632,1395,.453,128,360,.356,504,1035,.487,.499,261,330,.791,98,237,335,536,103,31,267,187,1653,1,
2006-07,25,ATL,NBA,SG,57,57,2359,536,1139,.471,119,312,.381,417,827,.504,.523,235,314,.748,53,186,239,249,60,11,176,115,1426,0,AS
2007-08,26,ATL,NBA,SG,82,82,3343,647,1497,.432,169,444,.381,478,1053,.454,.489,316,379,.834,83,284,367,474,84,18,223,168,1779,0,AS
2008-09,27,ATL,NBA,SG,79,79,3124,620,1420,.437,149,414,.360,471,1006,.468,.489,299,362,.826,65,281,346,455,84,19,195,176,1688,1,AS
2009-10,28,ATL,NBA,SG,76,76,2886,635,1386,.458,129,350,.369,506,1036,.488,.505,220,269,.818,74,279,353,369,82,5,145,145,1619,0,"MVP-12,AS,NBA3"
2010-11,29,ATL,NBA,SG,72,72,2554,514,1161,.443,89,300,.297,425,861,.494,.481,195,243,.802,59,232,291,338,47,7,146,131,1312,0,AS
2011-12,30,ATL,NBA,SG,60,60,2127,423,931,.454,125,322,.388,298,609,.489,.521,158,186,.849,53,168,221,232,48,13,116,75,1129,0,"MVP-15,AS"
2012-13,31,BRK,NBA,SG,72,72,2642,445,1052,.423,148,395,.375,297,657,.452,.493,132,161,.820,53,165,218,253,49,14,123,99,1170,0,
2013-14,32,BRK,NBA,SG,79,79,2575,462,1018,.454,162,404,.401,300,614,.489,.533,159,195,.815,48,222,270,216,47,10,120,129,1245,0,AS
2014-15,33,BRK,NBA,SG,80,80,2791,446,1025,.435,121,337,.359,325,688,.472,.494,141,176,.801,53,331,384,292,59,14,137,120,1154,0,
2015-16,34,2TM,NBA,SF,81,81,2703,377,859,.439,120,313,.383,257,546,.471,.509,118,142,.831,49,243,292,318,61,4,159,146,992,0,
2015-16,34,BRK,NBA,SF,57,57,1934,247,608,.406,85,229,.371,162,379,.427,.476,92,108,.852,34,190,224,232,40,2,116,100,671,0,
2015-16,34,MIA,NBA,SF,24,24,769,130,251,.518,35,84,.417,95,167,.569,.588,26,34,.765,15,53,68,86,21,2,43,46,321,0,
2016-17,35,UTA,NBA,SF,78,14,1843,273,626,.436,106,258,.411,167,368,.454,.521,63,77,.818,33,210,243,144,36,18,69,93,715,0,
2017-18,36,2TM,NBA,SF,55,4,1205,146,360,.406,40,145,.276,106,215,.493,.461,40,45,.889,14,158,172,83,18,7,49,67,372,0,
2017-18,36,UTA,NBA,SF,32,3,700,95,226,.420,23,84,.274,72,142,.507,.471,20,24,.833,12,95,107,45,12,6,31,32,233,0,
2017-18,36,HOU,NBA,SF,23,1,505,51,134,.381,17,61,.279,34,73,.466,.444,20,21,.952,2,63,65,38,6,1,18,35,139,0,
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2019-20,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2020-21,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2021-22,40,BOS,NBA,SG,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,0,
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
18 Yrs,18 Yrs,18 Yrs,18 Yrs,,1277,1091,44236,7823,17720,.441,1978,5331,.371,5845,12389,.472,.497,2783,3468,.802,1067,3992,5059,5001,1071,260,2451,2252,20407,2,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,70,2841,502,1138,.441,127,342,.371,375,796,.472,.497,179,223,.802,69,256,325,321,69,17,157,145,1310,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (7 Yrs),ATL (7 Yrs),ATL (7 Yrs),ATL (7 Yrs),,508,508,19733,4007,8929,.449,908,2502,.363,3099,6427,.482,.500,1684,2083,.808,485,1667,2152,2653,508,104,1268,997,10606,2,
BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),,288,288,9942,1600,3703,.432,516,1365,.378,1084,2338,.464,.502,524,640,.819,188,908,1096,993,195,40,496,448,4240,0,
PHO (4 Yrs),PHO (4 Yrs),PHO (4 Yrs),PHO (4 Yrs),,275,220,9739,1536,3554,.432,349,889,.393,1187,2665,.445,.481,426,563,.757,292,897,1189,968,260,80,498,542,3847,0,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,110,17,2543,368,852,.432,129,342,.377,239,510,.469,.508,83,101,.822,45,305,350,189,48,24,100,125,948,0,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,49,33,1005,131,297,.441,24,88,.273,107,209,.512,.481,20,26,.769,40,99,139,74,33,9,28,59,306,0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,24,24,769,130,251,.518,35,84,.417,95,167,.569,.588,26,34,.765,15,53,68,86,21,2,43,46,321,0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,23,1,505,51,134,.381,17,61,.279,34,73,.466,.444,20,21,.952,2,63,65,38,6,1,18,35,139,0,
