"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Joe Johnson,,8.4,7.6,7.6,7.0,6.4,6.0,5.1,5.1,4.9,4.2,4.1,3.8,3.3,3.0,2.8,2.7,1.0,0.0
Jrue Holiday,89.9,7.1,6.9,6.7,6.6,6.3,5.7,5.4,5.1,4.2,3.9,3.8,3.4,3.4,3.3,1.5,1.2,,
Michael Finley,89.5,8.5,8.3,7.6,7.5,6.7,6.3,6.3,5.5,5.4,5.0,4.7,4.4,4.2,3.9,1.0,,,
Dennis Johnson,88.6,8.4,8.1,7.4,6.7,6.6,6.6,6.4,5.8,5.7,5.2,5.0,4.5,3.8,2.5,,,,
Rod Strickland,87.6,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2,1.7,1.3,-0.2,
Mark Jackson,87.1,7.9,7.6,7.6,7.5,7.2,7.2,6.7,6.1,6.0,5.9,4.5,4.2,4.1,3.8,3.7,1.1,0.4,
Kyle Korver,86.9,7.5,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,4.1,3.7,3.7,3.4,2.6,2.5,2.3,1.0,
Byron Scott,86.9,10.7,7.7,6.9,6.8,6.6,6.0,6.0,5.2,4.1,3.9,3.3,3.1,2.7,2.3,,,,
Danny Ainge,86.5,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,3.4,2.8,1.8,0.5,,,,
Mike Bibby,86.4,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4.0,2.1,1.3,0.7,,,,
Rolando Blackman,86.4,9.8,8.0,7.3,7.0,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,,,,,
