"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
TomÃ¡Å¡ SatoranskÃ½,,5.0,4.7,3.5,3.1,1.0,0.6
Carlos Delfino,92.6,4.8,4.0,3.5,2.9,1.0,0.5
Jerry Sichting,92.1,5.2,4.2,3.5,2.7,1.1,0.3
Eric Gordon,91.9,5.3,4.6,3.2,2.5,1.1,0.7
Ramon Sessions,91.8,5.6,4.4,3.7,2.9,1.1,0.7
Don Ohl,89.5,5.1,4.5,4.1,3.9,1.2,0.8
Luke Ridnour,89.3,5.4,4.4,3.4,2.3,1.2,0.9
Dean Meminger,88.6,5.0,4.4,3.9,2.2,1.0,0.2
Bob Warren,87.9,4.9,4.8,4.0,2.3,1.6,0.9
Hubert Davis,87.8,5.6,4.8,4.2,3.4,1.2,0.1
Kevin Grevey,87.6,5.8,4.4,3.4,3.3,0.7,0.1
