"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Jamaal Tinsley,,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3,
John Bagley,87.9,4.6,3.0,2.6,2.6,1.9,1.1,0.9,0.4,0.0,-0.2,-0.3,
Devean George,85.8,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3,
Howard Eisley,85.6,4.5,4.4,3.0,2.9,1.7,1.3,1.2,1.0,0.3,0.0,-0.3,-0.5
Bob Hansen,84.2,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,,,
Daniel Gibson,83.5,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,,,,
Adrian Griffin,83.5,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0,,,
Carlos Arroyo,83.1,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,,
Kevin Huerter,82.8,4.9,3.6,2.9,2.8,1.9,1.6,1.5,,,,,
Doug West,82.6,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
T.J. Ford,82.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,,,,
