"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Danny Granger,,8.0,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,,,
Troy Murphy,88.6,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3,
Bob Netolicky,86.3,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,,,
Cincy Powell,85.4,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,,,,
Wally Szczerbiak,85.2,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,,
Mike Mitchell,84.8,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,2.4,0.4,,,
Bob Love,84.3,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2,,
Truck Robinson,84.0,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1,,
Montrezl Harrell,83.9,8.7,7.3,7.3,7.0,5.5,4.1,2.2,0.9,,,,,
Khris Middleton,83.3,7.9,6.9,6.7,6.4,6.1,6.1,5.3,3.4,2.7,2.0,1.9,1.6,0.9
Pascal Siakam,83.2,9.3,8.1,7.8,7.5,6.9,5.4,4.7,4.2,1.6,,,,
