"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Udoka Azubuike,,1.0,0.6,0.2,0.1
Keith Closs,87.8,1.1,0.6,0.2,
Roger Brown,85.2,0.9,0.7,0.4,0.2
Mamadou N'Diaye,77.9,0.8,0.6,0.3,0.0
Olivier Sarr,77.3,1.0,0.4,0.2,
Cole Aldrich,74.3,1.2,0.6,0.6,0.2
Dave Newmark,73.4,0.8,0.7,0.4,
Lee Davis,73.2,1.5,0.6,0.2,0.2
Bernard James,73.1,1.2,0.5,0.1,
Daniel Santiago,72.1,1.2,0.6,0.0,0.0
Jason Collier,71.4,1.2,0.4,0.3,0.0
