Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2018-19,22,HOU,NBA,SF,2,0,16,3.1,12.3,0.25,3.1,12.3,0.25,0.0,0.0,0.375,0.0,0.0,3.1,3.1,6.1,0.0,0.0,0.0,0.0,0.0,9.2,95,118,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,16,3.1,12.3,0.25,3.1,12.3,0.25,0.0,0.0,0.375,0.0,0.0,3.1,3.1,6.1,0.0,0.0,0.0,0.0,0.0,9.2,95,118,
