"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Solomon Hill,,3.5,2.7,2.1,1.4,1.3,0.5,0.4,0.0,-0.1
Marvin Bagley III,92.9,3.6,2.7,2.0,2.0,1.4,0.6,0.4,,
Monty Williams,89.4,3.1,2.9,2.3,1.3,1.2,0.5,0.3,0.0,-0.1
Cedi Osman,88.4,3.3,2.9,1.9,1.6,1.5,0.9,0.5,,
Tim Bassett,87.8,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,
Lawrence Funderburke,87.2,3.7,3.1,2.1,1.9,1.6,0.5,0.1,,
Don Ford,86.2,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,,
Damian Jones,86.2,3.3,2.8,1.6,1.5,1.2,0.8,0.1,0.0,
Mark Landsberger,85.8,3.4,2.2,2.2,1.9,1.7,0.4,0.3,,
Scott Padgett,85.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,
Jon Leuer,84.8,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1,
