"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2020-21,22,WAS,NBA,PF,5.0,5.0,173.0,0.617,14.1,0.681,0.191,0.191,0.17,0.128,0.319,0.625,0.889,0.333,1.0,0.167,0.6,0.85,1.0,0.106,5.0,0.4,0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,LAL,NBA,PF,16.0,1.0,388.0,0.557,12.6,0.702,0.221,0.252,0.137,0.092,0.298,0.587,0.759,0.545,0.556,0.333,0.487,0.685,1.0,0.13,15.0,0.282,0.455,0.0,0.0,
2023-24,25,LAL,NBA,PF,5.0,5.0,152.0,0.395,11.9,0.632,0.342,0.184,0.053,0.053,0.368,0.417,0.385,0.571,0.0,0.5,0.357,0.9,1.0,0.105,3.0,0.714,0.3,0.0,0.0,
2024-25,26,LAL,NBA,PF,5.0,5.0,182.0,0.491,15.9,0.456,0.193,0.14,0.105,0.018,0.544,0.5,0.818,0.375,0.167,0.0,0.484,0.923,1.0,0.035,2.0,0.323,0.6,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,31.0,16.0,895.0,0.531,13.6,0.637,0.227,0.209,0.125,0.077,0.363,0.557,0.71,0.491,0.559,0.286,0.485,0.773,1.0,0.103,25.0,0.374,0.459,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,42.0,2367.0,0.531,13.6,0.637,0.227,0.209,0.125,0.077,0.363,0.557,0.71,0.491,0.559,0.286,0.485,0.773,1.0,0.103,66.0,0.374,0.459,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),,26.0,11.0,722.0,0.513,13.5,0.628,0.235,0.212,0.115,0.066,0.372,0.542,0.679,0.521,0.423,0.333,0.464,0.753,1.0,0.102,20.0,0.369,0.452,0.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,5.0,173.0,0.617,14.1,0.681,0.191,0.191,0.17,0.128,0.319,0.625,0.889,0.333,1.0,0.167,0.6,0.85,1.0,0.106,5.0,0.4,0.5,0.0,0.0,
