"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Vlatko ÄanÄar,,1.7,0.4,0.3,0.1,-0.1,
KornÃ©l DÃ¡vid,91.2,1.7,0.4,0.3,,,
Linton Johnson,86.2,1.9,0.4,0.4,0.0,0.0,0.0
D.J. Wilson,80.0,1.7,0.4,0.3,0.3,0.1,0.1
Red Morrison,79.8,1.7,0.5,0.0,,,
Joe Roberts,78.0,1.9,0.2,0.2,0.0,,
Ron Bonham,77.6,1.8,0.7,0.2,,,
Chris Singleton,75.9,1.5,0.5,0.2,,,
T.J. Leaf,75.6,1.6,0.8,0.3,0.0,,
Ish Wainright,75.5,1.7,0.6,0.0,,,
Jim Holstein,75.4,1.8,0.6,0.2,-0.1,,
