"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Omri Casspi,,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5
Mike Muscala,89.2,3.4,2.5,2.5,2.4,2.1,1.9,1.6,1.3,1.3,0.2
Trey Lyles,87.6,3.9,3.5,2.6,2.6,2.4,2.3,2.2,1.2,0.8,0.6
Mark Bryant,87.4,3.6,3.2,2.5,2.3,2.3,2.1,2.1,1.6,1.1,1.0
Reggie Evans,87.3,3.8,3.0,2.7,2.3,2.1,1.9,1.7,1.3,1.3,0.2
Andrew DeClercq,86.9,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4,0.1
Matt Bullard,86.6,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2
J.R. Reid,86.3,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7
Sidney Green,86.2,3.4,2.7,2.5,2.0,1.9,1.9,1.7,0.6,0.4,0.3
Mike Scott,86.0,3.2,2.7,2.6,2.5,2.5,1.6,1.0,0.9,-0.1,
Doug McDermott,85.8,3.8,3.3,2.9,2.8,2.6,2.3,1.6,1.0,0.9,0.0
