"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jonas Jerebko,,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2.0,1.4,,,,
Keith Erickson,90.4,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,
Vladimir RadmanoviÄ,89.6,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0.0,
Ollie Johnson,89.3,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3,0.2,,,
Kelly Oubre Jr.,88.5,3.8,3.7,3.3,3.0,2.6,2.2,2.2,2.0,1.7,0.4,,,
Fred Roberts,87.4,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0
Allan Bristow,87.0,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,,,
John Tresvant,86.0,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,,,,
Dwight Jones,85.3,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,,,
Terrence Ross,85.0,4.3,4.2,3.6,3.5,3.0,2.4,1.6,0.9,0.9,0.3,0.3,,
Trevor Booker,84.8,4.3,4.3,3.6,3.1,3.0,2.9,2.6,2.3,,,,,
