"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Shane Battier,,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,,,,,
Serge Ibaka,92.2,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.9,3.7,3.0,2.0,0.2,,,,
Hot Rod Williams,91.4,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,,,,,
Don Nelson,90.6,8.8,8.7,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.6,2.3,2.1,0.4,,,,
Tom Chambers,88.9,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4,,
Mark Aguirre,88.7,9.0,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9,1.8,0.9,,,,,
David West,88.2,9.1,8.4,8.1,7.8,7.8,7.5,7.4,5.9,5.4,5.2,4.3,3.5,2.8,2.6,0.2,,,
Antawn Jamison,88.1,9.2,9.0,8.5,8.2,8.1,6.8,6.7,6.4,5.8,5.4,4.3,3.1,2.6,2.3,1.4,0.1,,
Andrei Kirilenko,88.0,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3,0.0,,,,,
Clifford Robinson,87.5,9.6,8.7,8.0,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.4,4.3,4.2,2.8,2.0,1.7,0.3,0.3
David Lee,87.3,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.7,5.0,3.2,3.0,2.7,,,,,,
