"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Derrick Brown,,2.3,1.3,1.0,,,
Cliff Pondexter,93.6,2.2,1.5,1.0,,,
Marty Byrnes,91.6,2.3,1.0,0.9,0.0,,
Grady Lewis,87.5,2.4,1.1,0.8,,,
Bol Bol,85.9,2.3,1.6,0.9,0.1,0.1,0.0
Walter Herrmann,82.9,2.4,1.0,0.7,,,
Al Eberhard,82.4,2.6,1.8,0.9,0.0,,
Carey Scurry,81.1,2.6,1.8,0.9,,,
Sam Dekker,80.8,3.1,1.2,1.0,0.0,0.0,
Eric Paschall,80.6,2.1,2.0,0.9,,,
Keith Lee,80.2,1.9,1.1,0.8,,,
