Season,Team,Lg,Salary
2002-03,Denver Nuggets,NBA,"$1,945,520"
2003-04,Denver Nuggets,NBA,"$2,102,840"
2004-05,Denver Nuggets,NBA,"$2,260,280"
2005-06,Denver Nuggets,NBA,"$3,039,889"
2006-07,Denver Nuggets,NBA,"$8,000,000"
2007-08,Denver Nuggets,NBA,"$8,840,000"
2008-09,Denver Nuggets,NBA,"$9,680,000"
2009-10,Denver Nuggets,NBA,"$10,520,000"
2010-11,Denver Nuggets,NBA,"$11,360,000"
2011-12,Denver Nuggets,NBA,"$13,000,000"
2012-13,Washington Wizards,NBA,"$13,000,000"
2013-14,Washington Wizards,NBA,"$13,000,000"
2014-15,Washington Wizards,NBA,"$13,000,000"
2015-16,Washington Wizards,NBA,"$13,000,000"
2016-17,Houston Rockets,NBA,"$2,898,000"
2017-18,Houston Rockets,NBA,"$3,477,600"
2018-19,Houston Rockets,NBA,"$3,651,480"
2019-20,Atlanta Hawks,NBA,"$2,564,753"
Career,(may be incomplete),,"$135,340,362"
