Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,24,HOU,NBA,SF,6.0,6.0,238.0,6.4,14.1,0.452,2.4,6.1,0.4,3.9,8.0,0.491,0.538,1.4,2.1,0.643,1.1,4.8,5.9,3.3,0.2,0.3,2.7,2.9,16.5,
2013-14,25,HOU,NBA,SF,6.0,6.0,250.0,6.6,15.1,0.438,1.9,5.2,0.361,4.8,9.9,0.478,0.5,1.6,2.2,0.733,0.9,5.0,5.9,2.0,0.6,0.3,0.7,2.7,16.7,
2014-15,26,DAL,NBA,SF,1.0,1.0,37.0,4.9,14.6,0.333,0.0,3.9,0.0,4.9,10.7,0.455,0.333,0.0,0.0,,0.0,5.8,5.8,1.9,0.0,0.0,1.0,1.0,9.7,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,13.0,13.0,525.0,6.4,14.6,0.437,2.0,5.5,0.363,4.4,9.1,0.481,0.505,1.4,2.0,0.69,0.9,5.0,5.9,2.6,0.3,0.3,1.6,2.7,16.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,12.0,12.0,488.0,6.5,14.6,0.444,2.1,5.6,0.382,4.4,9.0,0.484,0.518,1.5,2.1,0.69,1.0,4.9,5.9,2.7,0.4,0.3,1.7,2.8,16.6,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,1.0,1.0,37.0,4.9,14.6,0.333,0.0,3.9,0.0,4.9,10.7,0.455,0.333,0.0,0.0,,0.0,5.8,5.8,1.9,0.0,0.0,1.0,1.0,9.7,
