"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Travis Outlaw,,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0.0,-0.1
James Bailey,84.6,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.4,0.3,,
Kyle O'Quinn,83.7,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,,
Dillon Brooks,81.5,5.1,2.7,1.6,1.6,1.4,1.2,1.2,0.0,,,
Glen Davis,81.4,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Tim Perry,81.3,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1,,,
Earl Lloyd,80.0,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,
Ben Warley,79.8,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,,,
Samaki Walker,79.4,5.3,2.1,2.0,1.9,1.4,0.7,0.6,0.5,0.0,-0.1,
Jon Leuer,79.3,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1,,,
Michael Beasley,78.8,4.6,3.4,2.4,1.8,1.7,1.6,1.0,0.5,0.2,-0.1,-1.5
