"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Isaac Okoro,,4.2,4.2,4.2,2.5,0.9,,,
Dean Meminger,89.5,5.0,4.4,3.9,2.2,1.0,0.2,,
Eric Money,85.9,4.2,3.6,3.3,2.7,0.6,0.3,,
T.J. Ford,85.4,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Max Strus,84.0,3.9,3.6,3.4,3.4,0.9,0.0,,
Allen Crabbe,83.9,4.3,4.2,3.2,1.3,0.8,0.1,-0.1,
Charles Dudley,83.1,4.6,4.0,3.6,1.6,0.2,-0.1,,
Speedy Claxton,82.4,4.2,3.7,3.0,2.8,1.2,0.0,-0.7,
TomÃ¡Å¡ SatoranskÃ½,82.1,5.0,4.7,3.5,3.1,1.0,0.6,,
Al Wood,81.7,4.4,4.2,2.5,2.3,1.0,0.9,,
John Roche,80.5,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5
