"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Nerlens Noel,,5.2,4.9,4.3,4.0,4.0,3.0,1.5,1.3,0.0,,,,
Kelvin Cato,93.8,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,,,
Steve Johnson,89.0,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0.0,,,
Wendell Carter Jr.,88.0,5.0,4.6,4.6,4.4,3.4,3.3,1.9,,,,,,
Matt Geiger,86.1,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,,,
Richaun Holmes,85.8,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,,,
Sam Bowie,85.1,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,,,
Kevin Duckworth,84.9,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0.0,-0.1,-0.2,-0.5,,
Greg Ostertag,83.2,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,
Will Perdue,82.1,4.7,4.7,4.4,3.4,2.5,2.5,2.3,1.5,0.5,0.3,0.2,-0.1,-0.5
Cody Zeller,79.8,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7,,
