0
2005-06 NBA 7.8 (7th)
2006-07 NBA 8.9 (4th)
2007-08 NBA 11.6 (1st)
2008-09 NBA 11.0 (1st)
2009-10 NBA 10.7 (2nd)
2010-11 NBA 9.8 (4th)
2011-12 NBA 9.1 (3rd)
2012-13 NBA 9.7 (2nd)
2013-14 NBA 10.7 (1st)
2014-15 NBA 10.2 (1st)
2015-16 NBA 10.0 (4th)
2016-17 NBA 9.2 (4th)
2017-18 NBA 7.9 (6th)
2018-19 NBA 8.2 (3rd)
2019-20 NBA 6.7 (17th)
2020-21 NBA 8.9 (3rd)
2021-22 NBA 10.8 (1st)
2022-23 NBA 8.9 (4th)
2023-24 NBA 6.8 (12th)
2024-25 NBA 7.4 (7th)
Active 9.2 (2nd)
Career 9.2 (6th)
Career NBA 9.2 (6th)
Career Playoffs 8.3 (13th)
Career NBA Playoffs 8.3 (13th)
