0
Active 5049 (13th)
Career 5049 (25th)
Career NBA 5049 (25th)
Career Playoffs 654 (22nd)
Career NBA Playoffs 654 (22nd)
Career (Reg+Playoffs) 5703 (21st)
Career NBA (Reg+Playoffs) 5703 (21st)
