"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jordan Bell,,2.9,1.6,0.4,0.0,0.0,,
Jabari Walker,88.0,2.9,2.0,0.2,,,,
Jake LaRavia,85.9,2.9,1.0,0.5,,,,
Jeremy Sochan,85.8,2.7,1.4,0.2,,,,
Julian Champagnie,84.8,2.5,1.8,0.4,,,,
Juan Toscano-Anderson,84.7,3.0,2.0,0.5,0.2,0.0,,
Stanislav Medvedenko,81.4,3.0,1.8,0.5,0.4,0.2,0.1,0.0
Isaiah Roby,81.4,2.9,1.3,0.0,-0.1,,,
Carey Scurry,80.6,2.6,1.8,0.9,,,,
Charles Jones,79.5,2.9,0.9,0.6,0.1,,,
Al Eberhard,79.1,2.6,1.8,0.9,0.0,,,
