"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Grayson Allen,,6.9,5.1,4.2,2.7,2.5,1.2,0.0
Jim Cleamons,93.3,7.1,5.5,3.8,2.7,2.6,1.7,0.1
Ted McClain,90.9,7.0,4.2,4.1,2.7,2.0,0.8,-0.1
Reggie Jackson,90.2,6.9,4.9,4.9,2.5,2.0,1.9,0.1
Eric Bledsoe,90.1,7.0,5.3,4.1,3.7,2.5,0.3,0.2
Immanuel Quickley,89.6,6.7,4.7,4.2,3.2,2.5,,
Mike James,88.9,7.6,5.2,4.3,2.8,1.8,0.3,0.0
Ron Williams,88.9,6.1,5.8,4.4,2.6,2.6,1.9,0.0
Charlie Ward,88.8,7.1,5.5,3.9,3.6,3.1,1.0,-0.2
Craig Hodges,88.6,6.0,5.3,4.3,2.9,2.4,0.8,0.5
Paul Walther,88.5,6.6,5.2,3.1,2.2,2.0,1.3,
