"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Reggie Jackson,,6.9,5.0,4.9,4.9,3.7,2.5,2.1,2.0,1.9,1.1,0.6,0.4,0.1,0.1,,
Adrian Smith,90.3,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,,,,
Arron Afflalo,87.8,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,1.4,0.1,,,,,
John Salmons,87.7,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,,,
John Paxson,87.3,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,,,,,
Guy Rodgers,86.9,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,,,,
Raja Bell,86.6,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,,,,
Bojan BogdanoviÄ,86.6,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,,,,,,
Patty Mills,85.9,5.6,5.1,4.8,4.1,3.5,2.8,2.8,2.2,1.5,1.4,0.9,0.7,0.4,0.1,0.1,0.0
Jarrett Jack,85.7,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0.0,,,
Al Attles,85.2,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,,,,,
