0
Active 5197 (17th)
Career 5197 (87th)
Career NBA 5197 (80th)
Career Playoffs 624 (65th)
Career NBA Playoffs 624 (60th)
Career (Reg+Playoffs) 5821 (77th)
Career NBA (Reg+Playoffs) 5821 (74th)
