0
2005-06 NBA 38.2 (6th)
2006-07 NBA 41.3 (5th)
2007-08 NBA 52.2 (1st)
2008-09 NBA 54.5 (1st)
2009-10 NBA 45.4 (2nd)
2010-11 NBA 45.8 (4th)
2011-12 NBA 43.8 (5th)
2012-13 NBA 46.5 (1st)
2013-14 NBA 48.9 (1st)
2014-15 NBA 47.4 (1st)
2015-16 NBA 52.7 (1st)
2016-17 NBA 46.8 (4th)
2017-18 NBA 40.9 (6th)
2018-19 NBA 39.3 (6th)
2019-20 NBA 34.0 (17th)
2020-21 NBA 40.9 (6th)
2021-22 NBA 44.5 (3rd)
2022-23 NBA 38.7 (7th)
2023-24 NBA 33.4 (11th)
2024-25 NBA 34.8 (11th)
Active 44.0 (2nd)
Career 44.0 (3rd)
Career NBA 44.0 (3rd)
Career Playoffs 39.5 (6th)
Career NBA Playoffs 39.5 (6th)
