Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22.0,NOH,NBA,PG,1.0,0.0,27:16,7.0,14.0,0.5,2.0,6.0,0.333,0.0,0.0,,2.0,3.0,14.0,4.0,0.0,2.0,5.0,16.0
2008-09,23.0,NOH,NBA,PG,1.0,1.0,29:14,7.0,14.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,7.0,14.0,3.0,0.0,1.0,4.0,14.0
2009-10,24.0,NOH,NBA,PG,,,,,,,,,,,,,,,,,,,,
2010-11,25.0,NOH,NBA,PG,1.0,1.0,28:32,3.0,7.0,0.429,2.0,3.0,0.667,2.0,2.0,1.0,1.0,4.0,7.0,5.0,0.0,3.0,3.0,10.0
2011-12,26.0,LAC,NBA,PG,1.0,1.0,30:57,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,,0.0,5.0,12.0,1.0,0.0,2.0,1.0,8.0
2012-13,27.0,LAC,NBA,PG,1.0,1.0,27:17,7.0,10.0,0.7,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,15.0,4.0,0.0,3.0,0.0,20.0
2013-14,28.0,LAC,NBA,PG,1.0,0.0,24:29,4.0,9.0,0.444,1.0,4.0,0.25,2.0,2.0,1.0,2.0,4.0,13.0,3.0,0.0,3.0,1.0,11.0
2014-15,29.0,LAC,NBA,PG,1.0,0.0,26:46,6.0,13.0,0.462,0.0,3.0,0.0,0.0,0.0,,1.0,6.0,15.0,2.0,0.0,2.0,0.0,12.0
2015-16,30.0,LAC,NBA,PG,1.0,0.0,19:10,5.0,7.0,0.714,4.0,6.0,0.667,0.0,0.0,,0.0,4.0,16.0,1.0,0.0,4.0,1.0,14.0
2019-20,34.0,OKC,NBA,PG,1.0,0.0,25:31,8.0,13.0,0.615,7.0,11.0,0.636,0.0,0.0,,0.0,2.0,6.0,0.0,0.0,2.0,4.0,23.0
2020-21,35.0,PHO,NBA,PG,1.0,0.0,31:00,3.0,6.0,0.5,0.0,3.0,0.0,0.0,0.0,,1.0,8.0,16.0,3.0,0.0,3.0,3.0,6.0
2021-22,36.0,PHO,NBA,PG,1.0,0.0,2:19,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Career,,,NBA,,11.0,4.0,273,53.0,101.0,,22.0,47.0,,6.0,7.0,,8.0,43.0,128.0,26.0,0.0,25.0,23.0,134.0
