"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Patrick McCaw,,1.7,1.4,0.6,0.5,0.1,,
Isaiah Canaan,88.9,1.4,1.4,0.6,0.5,0.2,0.1,
Sidney Lowe,88.4,1.7,1.5,0.5,0.3,,,
Shaquille Harrison,85.3,1.5,1.4,0.8,0.3,0.2,0.0,0.0
Quinn Cook,80.9,1.8,1.6,0.3,0.2,0.2,,
Caleb Houstan,79.8,1.8,1.5,0.7,,,,
John Warren,77.5,1.7,0.9,0.8,0.5,0.3,,
Lonnie Walker IV,76.7,1.8,1.2,0.8,0.4,0.3,0.3,0.0
Nik Stauskas,76.1,1.4,1.1,0.5,0.5,0.3,0.1,
Chris Douglas-Roberts,75.7,2.4,1.6,0.7,0.6,0.1,0.0,
Sergio RodrÃ­guez,75.5,1.7,1.2,0.9,0.7,-0.2,,
