"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Tre Jones,,4.9,3.4,2.9,2.9,0.4
Jim McElroy,94.5,4.9,3.5,2.9,2.6,0.8
K.C. Jones,90.9,4.9,3.7,3.6,3.0,0.8
Art Williams,90.8,4.4,3.4,3.1,2.7,0.0
Eric Money,89.7,4.2,3.6,3.3,2.7,0.3
Herm Gilliam,89.0,4.9,3.4,2.9,1.4,0.4
Bimbo Coles,88.2,5.7,3.2,3.0,2.8,1.1
Maurice Evans,88.2,4.9,3.2,2.6,2.1,0.1
John Long,87.8,4.7,3.6,3.6,2.4,0.2
Jim Price,87.5,5.0,3.7,2.7,2.6,1.5
Marcus Smart,87.3,5.3,3.2,2.9,2.9,1.9
