"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Edmond Sumner,,1.4,1.3,0.4,0.1,0.0
Slick Leonard,90.6,1.5,1.3,0.4,0.1,-0.1
Norris Cole,84.7,1.4,1.2,0.6,0.0,-0.1
Richie Regan,82.8,1.6,1.5,0.4,,
Keyon Dooling,82.1,1.5,1.4,0.3,0.3,0.0
Sidney Lowe,79.9,1.7,1.5,0.5,0.3,
Shaquille Harrison,79.3,1.5,1.4,0.8,0.2,0.0
Jimmy O'Brien,78.8,1.4,1.4,1.0,0.2,
Lonnie Walker IV,77.2,1.8,1.2,0.4,0.3,0.0
Isaiah Canaan,77.0,1.4,1.4,0.6,0.5,0.2
Steve Harris,76.8,1.3,1.2,0.8,0.0,-0.1
