Season,Team,Lg,Salary
2000-01,Utah Jazz,NBA,"$828,120"
2001-02,Utah Jazz,NBA,"$890,280"
2002-03,Utah Jazz,NBA,"$952,320"
2003-04,Utah Jazz,NBA,"$1,616,087"
2004-05,Orlando Magic,NBA,"$2,500,000"
2005-06,Orlando Magic,NBA,"$2,750,000"
2006-07,Washington Wizards,NBA,"$932,015"
2007-08,Washington Wizards,NBA,"$1,033,930"
2008-09,Washington Wizards,NBA,"$3,616,072"
2009-10,Dallas Mavericks,NBA,"$3,886,928"
2010-11,Dallas Mavericks,NBA,"$4,151,786"
2011-12,New Jersey Nets,NBA,"$2,500,000"
2012-13,Atlanta Hawks,NBA,"$2,240,450"
Career,(may be incomplete),,"$27,897,988"
