"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
BoÅ¡tjan Nachbar,,4.1,2.2,1.7,0.8,0.1,-0.1
Bruce Bowen,91.1,4.2,2.2,1.9,1.2,0.0,0.0
Greg Kelser,90.1,3.9,2.5,1.4,0.8,0.1,0.0
Tony Jaros,88.4,4.4,2.2,1.3,0.6,,
Dorell Wright,87.7,4.3,2.2,1.9,0.2,-0.1,-0.1
Kyle Singler,87.1,4.4,2.3,2.0,1.1,0.3,0.0
Mike Sweetney,87.1,3.8,2.1,1.4,0.4,,
Brian Skinner,86.3,4.1,2.7,1.9,0.9,0.3,0.1
Carl Herrera,86.1,4.6,2.1,2.0,0.5,0.1,-0.2
Jayson Williams,85.7,3.8,2.1,1.8,0.2,0.1,-0.3
Brian Cook,85.1,4.5,2.0,1.8,1.1,0.4,0.0
