"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Killian Hayes,,0.7,0.5,0.3,-0.5,-1.1
Acie Law,-83.3,0.7,0.6,0.4,-0.1,
Yakhouba Diawara,-84.0,0.7,0.5,0.5,-0.1,
Dylan Windler,-84.8,0.8,0.5,0.3,0.0,
Pearl Washington,-85.9,0.7,0.7,0.5,,
Mitchell Butler,-86.6,1.1,0.6,0.3,0.1,-0.2
Dalano Banton,-86.9,0.8,0.5,0.4,0.4,
Skylar Mays,-87.2,0.8,0.7,0.4,0.3,
Shawn Respert,-87.2,0.8,0.7,0.5,0.1,
Dahntay Jones,-87.8,0.9,0.7,0.6,0.4,-0.4
Mike Wilks,-88.0,0.8,0.7,0.6,0.5,-0.3
