"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Rajon Rondo,,9.9,9.6,7.2,6.6,4.9,4.6,3.6,3.2,2.4,2.3,1.6,1.4,1.3,1.3,1.1,0.7,,
Avery Johnson,88.2,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,3.0,2.6,1.6,1.3,0.5,0.4,0.3,0.2,,
Klay Thompson,86.5,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.6,3.1,1.8,1.8,1.7,,,,,,
Paul Pressey,85.5,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3.0,2.0,0.3,0.1,,,,,,,
Kevin Martin,85.4,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1,,,,,,
Randy Smith,85.3,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2,,,,,,
Jerry Stackhouse,85.3,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0.0,-0.4
Sleepy Floyd,85.2,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1.0,0.9,-0.2,-0.4,,,,,
JosÃ© CalderÃ³n,84.5,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,1.8,0.9,0.9,0.6,0.3,,,,
Goran DragiÄ,84.4,10.3,7.5,6.8,5.7,5.3,5.1,4.7,3.5,2.8,1.6,1.3,1.0,0.4,0.4,0.1,,,
Vern Fleming,83.4,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.9,2.0,1.9,1.6,1.4,,,,,,
