"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Domantas Sabonis,,12.6,12.6,10.1,7.6,7.5,7.1,6.9,4.7,0.8
Brad Daugherty,89.7,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,
Jarrett Allen,89.6,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2,
Joel Embiid,88.8,12.3,12.0,8.8,8.7,7.5,6.2,6.0,1.9,1.4
Alonzo Mourning,88.7,12.9,9.9,9.4,8.4,8.2,7.9,7.5,6.3,0.9
Karl-Anthony Towns,87.4,14.0,12.7,10.4,10.3,8.3,6.3,5.4,5.1,2.7
Larry Foust,86.2,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2
Andre Drummond,85.4,10.3,10.0,9.9,7.7,7.4,6.7,4.5,4.2,2.0
Marc Gasol,85.1,11.5,10.2,8.4,8.2,7.9,7.7,6.4,5.6,3.7
Willis Reed,84.3,14.7,14.6,10.6,10.0,7.9,5.8,5.5,3.6,0.6
Pau Gasol,83.7,13.9,12.0,11.0,8.5,8.4,8.1,7.6,6.9,6.8
