"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Justin Anderson,,1.9,1.2,1.1,0.4,0.4,-0.1,,,,,
Mo Layton,85.4,1.9,1.1,1.0,0.3,0.1,,,,,,
Donnie Butcher,82.7,1.9,1.2,1.1,0.5,-0.3,,,,,,
Todd Lichti,82.4,1.8,1.3,1.2,1.0,0.2,,,,,,
Lonnie Walker IV,81.6,1.8,1.2,0.8,0.4,0.3,0.3,0.0,,,,
Steve Kramer,80.8,1.9,1.2,1.1,,,,,,,,
A.J. Price,79.4,2.2,1.2,0.7,0.3,0.3,0.0,,,,,
Jannero Pargo,79.1,2.0,1.3,1.1,0.5,0.2,0.2,0.1,0.1,-0.1,-0.2,-0.3
Chris Carr,78.5,1.7,1.1,0.9,0.3,0.2,-0.3,,,,,
Mike Davis,78.2,2.2,1.2,0.9,0.6,,,,,,,
Lloyd Walton,78.2,1.9,1.1,1.1,1.1,0.1,,,,,,
