"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Ivica Zubac,,11.7,7.2,6.9,6.8,6.7,6.6,3.2,1.1,1.0
Tom Owens,88.4,10.4,8.3,8.0,6.9,6.9,6.0,2.9,2.5,0.9
Joakim Noah,85.5,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1
Brook Lopez,83.2,9.0,7.9,7.0,6.3,6.2,5.8,4.9,2.3,0.3
Steven Adams,82.4,9.7,9.1,6.8,6.5,6.5,6.5,4.1,4.0,2.9
Swen Nater,82.3,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2
Arvydas Sabonis,82.1,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,
Mike Gminski,81.4,9.2,7.0,6.5,6.1,5.4,4.3,4.0,1.8,1.5
Zydrunas Ilgauskas,81.4,9.4,8.7,8.1,7.8,6.6,5.0,2.5,0.7,0.5
Jim Eakins,81.3,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9
Arnie Risen,80.7,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6
