"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2016-17,19,LAL,NBA,C,38.0,11.0,609.0,0.529,6.2,0.987,0.403,0.399,0.092,0.088,0.013,0.536,0.615,0.474,0.455,0.571,0.0,0.802,,0.101,20.0,0.0,1.0,0.0,
2017-18,20,LAL,NBA,C,43.0,0.0,410.0,0.5,3.8,0.992,0.582,0.303,0.09,0.016,0.008,0.504,0.634,0.324,0.364,0.0,0.0,0.656,,0.189,19.0,0.0,0.0,0.0,
2018-19,21,2TM,NBA,C,59.0,37.0,1040.0,0.559,3.4,1.0,0.62,0.322,0.034,0.024,0.0,0.559,0.651,0.426,0.385,0.222,,0.802,,0.251,82.0,,0.0,0.0,
2018-19,21,LAL,NBA,C,33.0,12.0,516.0,0.58,3.5,1.0,0.58,0.363,0.036,0.021,0.0,0.58,0.688,0.471,0.286,0.0,,0.795,,0.228,38.0,,0.0,0.0,
2018-19,21,LAC,NBA,C,26.0,25.0,524.0,0.538,3.3,1.0,0.661,0.28,0.032,0.027,0.0,0.538,0.618,0.365,0.5,0.4,,0.81,,0.274,44.0,,0.0,0.0,
2019-20,22,LAC,NBA,C,72.0,70.0,1326.0,0.613,3.4,0.995,0.691,0.229,0.042,0.034,0.005,0.616,0.684,0.42,0.438,0.769,0.0,0.725,,0.265,97.0,0.0,0.0,0.0,
2020-21,23,LAC,NBA,C,72.0,33.0,1609.0,0.652,2.9,0.99,0.683,0.287,0.01,0.01,0.01,0.656,0.729,0.504,0.5,0.25,0.25,0.734,1.0,0.406,139.0,0.0,1.0,0.0,
2021-22,24,LAC,NBA,C,76.0,76.0,1852.0,0.626,3.4,1.0,0.572,0.378,0.032,0.006,0.0,0.626,0.714,0.508,0.5,0.333,,0.706,,0.242,108.0,,0.0,0.0,
2022-23,25,LAC,NBA,C,76.0,76.0,2170.0,0.634,3.3,0.996,0.593,0.377,0.021,0.004,0.004,0.637,0.702,0.546,0.455,0.5,0.0,0.733,,0.286,130.0,0.0,1.0,0.0,
2023-24,26,LAC,NBA,C,68.0,68.0,1794.0,0.649,3.7,1.0,0.493,0.466,0.04,0.0,0.0,0.649,0.711,0.599,0.476,,,0.772,,0.245,112.0,,0.0,0.0,
2024-25,27,LAC,NBA,C,80.0,80.0,2624.0,0.628,4.4,1.0,0.426,0.499,0.072,0.003,0.0,0.628,0.706,0.585,0.485,0.333,,0.703,,0.203,177.0,,0.0,0.0,"DPOY-6,DEF2"
2025-26,28,LAC,NBA,C,14.0,14.0,441.0,0.622,4.3,1.0,0.436,0.474,0.09,0.0,0.0,0.622,0.735,0.514,0.643,,,0.619,,0.179,25.0,,0.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,598.0,465.0,13875.0,0.616,3.8,0.997,0.543,0.391,0.047,0.014,0.003,0.618,0.696,0.531,0.474,0.491,0.083,0.73,1.0,0.245,909.0,0.0,3.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,64.0,1903.0,0.616,3.8,0.997,0.543,0.391,0.047,0.014,0.003,0.618,0.696,0.531,0.474,0.491,0.083,0.73,1.0,0.245,125.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (8 Yrs),LAC (8 Yrs),LAC (8 Yrs),LAC (8 Yrs),,484.0,442.0,12340.0,0.628,3.6,0.998,0.549,0.395,0.043,0.008,0.002,0.629,0.703,0.544,0.494,0.533,0.125,0.725,1.0,0.258,832.0,0.0,2.0,0.0,
LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),,114.0,23.0,1535.0,0.541,4.5,0.993,0.505,0.365,0.072,0.049,0.007,0.545,0.649,0.446,0.4,0.444,0.0,0.769,,0.165,77.0,0.0,1.0,0.0,
