"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Linas Kleiza,,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,
Rondae Hollis-Jefferson,87.7,4.1,3.4,2.6,1.2,1.2,0.3,,
Grant Williams,84.6,5.1,4.4,2.6,1.6,1.1,0.7,,
KJ Martin,84.4,4.9,2.9,2.2,1.3,1.1,,,
Larry McNeill,83.7,4.4,4.3,2.3,1.5,0.7,0.1,,
Jim Petersen,83.1,4.7,3.4,2.9,1.0,0.6,0.4,0.3,0.3
George Irvine,82.7,5.5,3.7,3.2,2.5,1.2,0.0,,
Bob Harris,82.5,5.0,4.3,3.4,1.9,1.0,,,
Dave Budd,82.1,4.1,3.2,2.3,1.2,0.9,,,
Isaiah Stewart,82.0,4.3,4.0,3.4,2.0,1.7,,,
Fred Hetzel,81.9,5.1,4.5,2.9,2.0,0.9,0.5,,
