"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jalen Green,,5.1,3.1,1.8,0.7,,,,,
Gary Payton II,88.3,5.2,3.0,1.8,1.0,0.5,0.3,0.2,0.1,-0.2
Dyson Daniels,85.9,5.0,2.9,1.3,,,,,,
Al Smith,85.5,4.5,3.3,1.8,0.9,0.6,,,,
Quentin Grimes,84.6,4.8,3.4,1.4,1.3,,,,,
Matt Maloney,83.8,5.3,2.2,1.5,0.7,0.1,-0.3,,,
Gene Vance,83.2,5.3,2.2,1.6,1.3,0.0,,,,
Aaron Wiggins,82.2,5.4,3.7,2.6,1.2,,,,,
Eddie Robinson,82.1,4.0,3.0,2.2,0.8,0.2,,,,
Michael Dickerson,82.0,5.5,2.2,1.8,0.1,-0.1,,,,
Don Carlson,80.8,5.8,2.8,2.6,0.2,,,,,
