Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2022-23,20,MIN,NBA,SF,1,0,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,0,0,0,0,2,1,1,1,0,0,
2023-24,21,MIN,NBA,SF,5,0,18,2,9,0.222,2,5,0.4,0,4,0.0,0.333,0,0,1,4,5,3,0,0,0,2,6,0,
2024-25,22,MIN,NBA,SF,5,0,23,2,8,0.25,1,6,0.167,1,2,0.5,0.313,0,0,0,0,0,2,0,1,2,1,5,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,11,0,47,4,18,0.222,3,12,0.25,1,6,0.167,0.306,0,0,1,4,5,5,2,2,3,4,11,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,350,30,134,0.222,22,89,0.25,7,45,0.167,0.306,0,0,7,30,37,37,15,15,22,30,82,0,
