"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2022-23,20,MIN,NBA,SF,1,0,6,0.0,23.2,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0,1.0,0.0,0,0,
2023-24,21,MIN,NBA,SF,5,0,18,0.222,16.6,0.444,0.0,0.333,0.111,0.0,0.556,0.0,,0.0,0.0,0.4,,1.0,0.0,0,0.2,0.0,0,0,
2024-25,22,MIN,NBA,SF,5,0,23,0.25,19.5,0.25,0.25,0.0,0.0,0.0,0.75,0.5,0.5,,,0.167,1.0,1.0,0.0,0,0.167,0.0,0,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,11,0,47,0.222,19.8,0.333,0.111,0.167,0.056,0.0,0.667,0.167,0.5,0.0,0.0,0.25,1.0,1.0,0.0,0,0.25,0.0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,350,0.222,19.8,0.333,0.111,0.167,0.056,0.0,0.667,0.167,0.5,0.0,0.0,0.25,1.0,1.0,0.0,0,0.25,0.0,0,0,
