"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Josh Minott,,0.9,0.4,0.3,,,
Jackie Moore,94.3,0.9,0.5,0.3,,,
Ousmane Dieng,91.3,0.9,0.4,0.4,,,
Jerrod Mustaf,90.5,0.8,0.5,0.4,0.0,,
Jamal Cain,89.3,0.8,0.5,0.4,,,
Bob Peterson,86.0,0.9,0.4,0.2,,,
Tyler Cook,84.4,0.8,0.5,0.2,,,
Cal Bowdler,83.8,1.0,0.5,0.2,,,
Michael Smith,82.5,0.7,0.3,0.3,,,
Ansu Sesay,81.7,0.8,0.5,0.2,-0.1,,
Ronald Dupree,79.3,1.0,0.5,0.3,0.1,0.0,0.0
