Date,Team,Unnamed: 2,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-11-30,BOS,@,CLE,"W, 117-115",,13,0,5,0.0,0,2,0.0,0,0,,1,3,4,0,0,2,0,0,0,-0.5,-4
2025-11-29,BOS,@,MIN,"L, 115-119",,16,2,3,0.667,1,1,1.0,0,0,,2,2,4,0,1,0,1,1,5,5.3,-1
2025-11-26,BOS,,DET,"W, 117-114",,19,3,6,0.5,2,3,0.667,1,1,1.0,2,3,5,3,1,0,1,2,9,9.6,3
2025-11-23,BOS,,ORL,"W, 138-129",,20,7,8,0.875,2,3,0.667,0,0,,0,7,7,1,0,1,0,1,16,16.3,15
2025-11-21,BOS,,BRK,"L, 105-113",,7,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,0,0,0.4,-2
