"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jared Butler,,1.4,0.6,0.4,0.1
Jeff Dowtin Jr.,90.7,1.3,0.6,0.4,0.0
Vonteego Cummings,86.5,1.3,0.6,0.2,
Keith Askins,85.2,1.4,0.7,0.6,0.3
Terence Stansbury,84.3,1.5,0.6,0.3,
Frank Jackson,84.2,1.2,0.7,0.4,0.2
Trent Forrest,83.8,1.3,0.7,0.2,-0.1
Nik Stauskas,82.9,1.4,0.5,0.5,0.3
Chris Douglas-Roberts,81.4,1.6,0.7,0.6,0.1
Ray McCallum,80.8,1.4,0.4,0.3,
Jordan Hamilton,79.8,1.6,0.8,0.3,0.1
