Season,Team,Lg,Salary
2008-09,Los Angeles Clippers,NBA,"$2,623,200"
2009-10,Los Angeles Clippers,NBA,"$2,819,880"
2010-11,Los Angeles Clippers,NBA,"$3,016,680"
2011-12,New Orleans Hornets,NBA,"$3,831,184"
2012-13,New Orleans Hornets,NBA,"$13,668,750"
2013-14,New Orleans Pelicans,NBA,"$14,283,844"
2014-15,New Orleans Pelicans,NBA,"$14,898,938"
2015-16,New Orleans Pelicans,NBA,"$15,514,031"
2016-17,Houston Rockets,NBA,"$12,385,364"
2017-18,Houston Rockets,NBA,"$12,943,020"
2018-19,Houston Rockets,NBA,"$13,500,375"
2019-20,Houston Rockets,NBA,"$14,057,730"
2020-21,Houston Rockets,NBA,"$16,869,276"
2021-22,Houston Rockets,NBA,"$18,218,818"
2022-23,Los Angeles Clippers,NBA,"$19,568,360"
2023-24,Phoenix Suns,NBA,"$3,196,448"
2024-25,Philadelphia 76ers,NBA,"$3,303,771"
Career,(may be incomplete),,"$184,699,669"
