"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Landry Shamet,,3.6,2.6,2.6,1.8,1.2,1.0,0.3
Anthony Peeler,90.3,3.7,2.7,2.5,2.4,1.1,0.8,0.6
Quintin Dailey,89.4,3.7,2.6,2.1,2.0,1.3,1.0,-0.3
Charles Johnson,89.1,3.7,2.8,2.4,1.4,1.1,1.0,0.9
Fatty Taylor,88.0,3.7,3.0,2.6,2.6,1.3,1.2,0.4
Nick Young,87.2,2.8,2.5,2.3,1.9,1.4,1.2,0.4
Lonzo Ball,86.4,3.2,2.4,2.2,2.0,1.6,1.2,
Dudley Bradley,86.4,3.9,3.1,2.4,1.7,1.4,1.1,1.0
Dell Curry,85.5,3.4,3.2,2.7,2.0,1.8,0.9,0.5
J.J. Barea,85.0,3.2,2.2,2.2,1.9,1.2,0.5,0.1
Matisse Thybulle,84.5,3.7,2.8,2.3,2.2,2.1,0.9,
