"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kira Lewis Jr.,,0.9,0.6,0.0,-0.1
Tarence Kinsey,82.1,0.9,0.6,0.0,
Stan Pietkiewicz,81.0,1.0,0.6,0.0,
Tony Bennett,79.1,0.9,0.7,0.0,
LaBradford Smith,77.4,0.8,0.8,-0.1,
Zoran PlaniniÄ,76.1,0.8,0.7,0.1,
Sundiata Gaines,76.0,1.0,0.5,-0.1,
Chandler Hutchison,75.8,0.7,0.6,0.0,-0.1
Charlie Davis,73.1,0.8,0.7,-0.1,
Carlos Terry,73.1,0.8,0.8,-0.1,
Chasson Randle,70.5,0.7,0.6,0.0,0.0
