"('Thru 17 Years', 'Player')","('Thru 17 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Jeff Green,,6.6,5.2,4.8,4.7,4.2,4.1,3.9,3.9,3.6,3.3,3.1,2.6,2.1,1.7,1.3,0.7,0.2
Mark Olberding,89.8,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5,,,,,
Juwan Howard,89.7,7.0,6.0,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,2.6,1.9,0.9,0.7,0.1
Johnny Newman,89.3,6.7,4.5,4.4,4.1,3.7,3.7,3.5,3.4,3.1,2.8,2.8,2.7,2.3,1.2,0.9,0.3,
Rudy Gay,87.5,6.4,6.1,6.0,5.5,5.0,4.8,4.4,4.0,3.8,3.3,3.1,2.1,2.1,1.8,1.7,0.5,0.3
Joe Smith,87.0,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3.0,2.8,2.7,2.6,2.3,0.9,-0.1,
Taj Gibson,86.4,7.2,5.7,5.4,5.2,5.1,4.8,4.7,4.5,4.0,3.8,3.3,2.7,2.6,0.8,0.4,0.2,
Mike Miller,86.2,7.4,7.0,5.3,5.0,4.8,4.5,4.2,4.0,3.9,3.9,3.9,2.6,1.8,1.6,0.4,0.3,0.1
Kurt Thomas,84.9,8.2,6.5,5.4,5.2,5.2,5.0,4.5,4.1,3.8,3.3,3.2,2.9,2.5,2.1,1.1,0.5,-0.2
Ersan Ä°lyasova,84.8,6.7,6.4,5.8,4.4,4.1,4.0,4.0,3.8,3.6,3.0,1.6,1.0,0.4,,,,
Larry Smith,84.6,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,1.2,0.3,,,,
