"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jordan Poole,,6.0,3.2,2.0,1.9,-0.6,-1.2
Collin Sexton,77.5,5.5,3.5,2.5,2.5,-0.1,-0.6
Frank Selvy,75.5,5.9,4.1,2.4,2.3,0.6,-0.6
Fred Hoiberg,74.9,5.9,2.3,2.1,1.8,0.2,0.0
LaMelo Ball,74.7,5.8,2.8,2.0,1.8,1.1,
Scott Skiles,74.6,7.0,3.2,2.0,1.3,0.3,-0.2
Steve Kerr,72.9,6.1,3.2,2.4,1.3,0.6,0.4
Ray Lumpp,71.8,6.7,3.3,2.0,1.9,1.7,
Deni Avdija,71.5,5.6,3.2,2.4,2.3,1.2,
Brian Shaw,70.9,5.9,3.2,2.2,1.8,1.3,1.0
Steve Blake,70.2,5.8,3.8,2.8,2.1,0.7,0.3
