"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jamison Brewer,,0.2,0.0,0.0,-0.3
Kevin Pritchard,-79.0,0.2,0.2,0.2,-0.2
Mike Price,-80.1,0.2,0.2,0.1,
Axel Toupane,-82.5,0.3,0.1,0.1,
Cliff Anderson,-83.4,0.4,0.1,0.0,-0.2
Bob Duffy,-83.5,0.3,0.1,0.1,
Lester Hudson,-83.5,0.2,0.1,0.1,-0.1
Anthony Roberson,-83.9,0.2,0.2,0.1,
Patrick Baldwin Jr.,-84.0,0.2,0.2,0.1,
Mason Jones,-84.8,0.2,0.2,0.2,0.0
Randy Woods,-85.2,0.3,0.2,0.1,0.1
