"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Deyonta Davis,,2.7,0.5,0.4
Zach Collins,88.7,2.9,0.6,0.3
Michael Stewart,85.3,3.0,0.7,0.2
Evan Eschmeyer,84.0,2.5,0.7,0.5
Jack Haley,79.6,2.2,0.4,0.3
George Johnson,78.6,2.4,0.3,0.2
Dave Hoppen,77.2,2.6,0.8,0.0
Sam Lacey,77.1,2.7,1.2,0.3
Will Perdue,74.2,2.3,0.5,-0.1
Omer Yurtseven,73.2,2.1,0.7,0.3
Chris Andersen,73.1,2.4,1.1,0.3
