Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2015-16,24,IND,NBA,PF,1,0,6,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,1,0,1,0,0,0,0,1,4,0,
2016-17,25,IND,NBA,PF,29,0,219,19,43,0.442,0,0,19,43,0.442,0.442,21,29,0.724,26,30,56,4,3,6,8,37,59,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,30,0,225,21,45,0.467,0,0,21,45,0.467,0.467,21,29,0.724,27,30,57,4,3,6,8,38,63,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,615,57,123,0.467,0,0,57,123,0.467,0.467,57,79,0.724,74,82,156,11,8,16,22,104,172,0,
