"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Darius Bazley,,1.8,1.0,1.0,0.3,-0.9,,
Cliff Meely,65.1,1.8,1.2,1.0,0.4,0.2,,
Doug Smith,63.5,2.3,1.0,0.8,-0.2,-0.9,,
Keith Lee,61.2,1.9,1.1,0.8,,,,
Byron Houston,60.9,1.8,0.9,0.7,0.5,,,
Bob Portman,60.7,1.9,1.2,0.8,0.5,,,
Tony Brown,60.2,1.8,1.3,0.9,0.5,0.2,0.2,0.0
Dominic McGuire,59.3,1.7,1.5,0.9,0.3,0.0,-0.2,
Mario Hezonja,59.1,2.3,0.9,0.8,-0.1,-0.7,,
Chris Johnson,58.8,1.4,1.1,0.8,0.2,,,
Ariel Maughan,58.1,1.5,1.2,1.1,1.0,-0.5,,
