"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Darius Bazley,,1.8,1.0,1.0,0.3,-0.9
Brian Scalabrine,67.0,1.7,1.4,1.0,0.3,-0.1
Lance Thomas,65.5,1.7,1.2,1.2,-0.1,-0.4
Cliff Meely,65.1,1.8,1.2,1.0,0.4,0.2
Doug Smith,63.5,2.3,1.0,0.8,-0.2,-0.9
Corey Brewer,63.3,2.3,1.1,1.0,0.3,-0.2
Kris Humphries,63.2,1.8,1.5,0.7,0.2,-0.3
Michael Ruffin,62.7,1.9,1.0,0.6,0.2,0.0
Aaron Williams,61.5,1.7,1.1,1.1,-0.1,-0.1
Keith Lee,61.2,1.9,1.1,0.8,,
Byron Houston,60.9,1.8,0.9,0.7,0.5,
