"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
P.J. Tucker,,6.1,5.0,5.0,4.9,4.0,3.9,3.6,3.5,2.9,2.5,1.0,0.7,0.1,0.1
Larry Smith,93.6,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,1.2,0.3,
Nick Collison,91.0,5.2,5.0,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4,0.1
Glenn Robinson,90.5,6.7,4.8,4.7,4.7,4.0,3.5,3.2,3.1,2.9,1.6,0.5,,,
Thurl Bailey,89.6,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,
Mark Olberding,89.1,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5,,
Brandon Bass,89.0,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2.0,0.1,0.0,,
Junior Bridgeman,89.0,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,
Rick Fox,88.9,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8,0.8,
John Salley,88.8,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,,,
Sam Mitchell,88.7,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6,
