Season,Team,Lg,Salary
2006-07,Toronto Raptors,NBA,"$412,718"
2012-13,Phoenix Suns,NBA,"$762,195"
2013-14,Phoenix Suns,NBA,"$884,293"
2014-15,Phoenix Suns,NBA,"$5,700,000"
2015-16,Phoenix Suns,NBA,"$5,500,000"
2016-17,Toronto Raptors,NBA,"$5,300,000"
2017-18,Houston Rockets,NBA,"$7,590,035"
2018-19,Houston Rockets,NBA,"$7,969,537"
2019-20,Houston Rockets,NBA,"$8,349,039"
2020-21,Milwaukee Bucks,NBA,"$7,969,537"
2021-22,Miami Heat,NBA,"$7,000,000"
2022-23,Philadelphia 76ers,NBA,"$10,490,000"
2023-24,Los Angeles Clippers,NBA,"$11,014,500"
2024-25,Toronto Raptors,NBA,"$11,539,000"
2024-25,New York Knicks,NBA,"$246,833"
2024-25,New York Knicks,NBA,"$119,972"
2024-25,New York Knicks,NBA,"$119,972"
Career,(may be incomplete),,"$90,967,631"
