"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ray McCallum,,1.4,0.4,0.3,
Jeff Dowtin Jr.,87.0,1.3,0.6,0.4,0.0
Terence Stansbury,85.4,1.5,0.6,0.3,
Romeo Langford,84.9,1.3,0.5,0.2,0.0
Vonteego Cummings,83.7,1.3,0.6,0.2,
Jared Butler,80.8,1.4,0.6,0.4,0.1
Trent Forrest,79.3,1.3,0.7,0.2,-0.1
Matt Thomas,79.1,1.2,0.6,0.2,
Tre Mann,72.9,1.2,0.5,0.1,0.1
Nate Hawthorne,72.3,1.1,0.5,0.1,
Kelvin Upshaw,72.1,1.0,0.3,0.3,
