"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jaylen Brown,,5.9,5.8,5.2,5.0,4.9,4.8,4.5,3.0,1.5,,,,
John Collins,91.0,6.7,6.0,5.4,5.1,4.9,4.4,4.2,2.5,,,,,
Jim Washington,89.7,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0,,
John Salley,88.8,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,,
Brandon Bass,87.6,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2.0,0.1,0.0,
Cliff Levingston,87.4,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,
Bruce Bowen,86.6,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0
Ed Davis,86.4,6.7,6.3,5.7,5.4,5.0,4.0,3.9,2.6,1.7,0.8,0.6,0.5,
Mike Bantom,86.3,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,,,,
Bill Bradley,86.2,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,,,
Keith Van Horn,86.2,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,,,,
