"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Malcolm Brogdon,,6.5,5.8,4.2,4.1,4.0,2.7,2.7,2.6,0.7
Raymond Felton,91.9,6.5,5.4,4.3,4.2,3.4,2.6,2.3,2.2,1.7
John Paxson,90.1,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,0.6
J.R. Smith,90.1,6.7,5.8,5.0,3.7,3.7,2.7,2.5,1.2,0.2
Mario Chalmers,88.8,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6
Jrue Holiday,88.4,7.1,5.7,4.2,3.8,3.4,3.4,3.3,1.5,1.2
Sherman Douglas,88.3,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0
Luke Ridnour,88.3,6.2,5.4,4.4,4.0,3.4,3.3,2.3,1.2,0.9
Mike Woodson,88.0,7.8,5.7,4.2,4.2,4.0,3.5,3.1,0.9,0.9
Gerald Wilkins,87.8,6.8,4.4,4.3,4.0,3.5,3.4,3.3,3.0,0.7
Bojan BogdanoviÄ,87.7,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,0.9
